gene	pct_coding_covered
GTPBP6	49.5444
USP17L17	49.5797
ZNG1F	49.9999
AKAP17A	50
ASMT	50
ASMTL	50
CD99	50
CRLF2	50
CSF2RA	50
CT45A3	50
DDTL	50
IL3RA	50
KCNE1	50
OR7E24	50
P2RY8	50
PLCXD1	50
POLR2J2	50
PPP2R3B	50
SHOX	50
SLC25A6	50
SPRY3	50
VAMP7	50
CTAGE6	50.1371
GOLGA6A	50.2146
TAF11L6	50.2513
FAM86B2	50.4108
LOC102724023	50.4327
RHOXF2B	50.5168
NUTM2A	50.5189
GOLGA6B	50.8748
UPK3BL1	51.2019
IKBKG	51.3117
IL9R	51.8707
ANXA8L1	52.1132
NOMO3	52.291
SPDYE2	52.5333
WASHC1	52.6563
PRAMEF6	52.9291
NPIPA1	52.9432
PDPK1	53.0758
TRIM74	53.1328
GAGE13	53.3333
CT45A10	53.3432
PWP2	53.3993
DEFB105A	53.8133
AQP12A	54.0085
U2AF1	54.027
CKMT1B	54.2093
SPAG11B	54.2857
NOTCH2NLA	54.3116
LGALS7	55
CSAG2	55.4565
PRAMEF7	55.4842
HBG1	55.4858
FAM72C	55.5921
CKMT1A	55.8837
MBD3L4	56.2543
NOMO2	56.2641
PLGLB1	56.3265
MBD3L5	56.4948
DEFB104B	56.646
RHOXF2	56.752
TRIM43B	57.1429
ZNG1C	57.4476
TRIM64	57.4827
OR4F21	57.6784
ANXA8	57.7945
NOTCH2NLB	58.2349
DEFB107A	58.2518
TRIM43	58.278
DEFB106A	58.4564
CT45A1	58.5106
SPDYE6	58.6855
POTEM	59.0955
GOLGA6D	59.2141
TMEM191B	59.2238
DEFB4A	59.708
MALL	60
PTPN20	60
ZNF749	60
OR2A42	60.4287
SPATA31A7	60.526
PNMA6A	60.55
AQP12B	60.8654
NCF1	61.4638
GATD3	61.7107
NUTM2B	62.0496
NUTM2D	62.2649
UPK3BL2	62.3312
PRAMEF8	62.3442
SPATA31A3	62.7669
SLX1B	63.2
DNMT3L	63.6364
TMEM238	63.6911
NPIPB7	63.7003
FAM90A26	63.8047
NSF	63.8874
RSPH10B	63.9277
TBC1D3B	63.9526
USP17L4	64.005
GTF2H2C	64.1375
SLX1A	64.875
ANKRD20A1	64.9534
RSPH10B2	64.9907
OR4N4	65.1735
RIMBP3	65.5935
GOLGA8J	66.1478
SYT15B	66.2683
MYPOP	66.2716
CT55	66.6667
DAND5	66.6667
MAGEA4	66.6667
MED9	66.6667
OPN1LW	66.6667
ZNF696	66.6667
FAM72D	66.7132
STRC	67.1185
GOLGA8T	67.1403
POTED	67.5896
POTEJ	67.7491
POTEE	67.8752
GTF2I	67.9013
AMY2A	67.961
MMP23B	67.9951
NUTM2E	68.1227
CHRFAM7A	68.2418
FOXD4L6	68.3573
NPY4R2	68.3688
POTEH	68.7267
RLN1	68.7789
LGALS7B	68.9912
POTEB3	69.2702
RLN2	69.637
HNRNPCL3	69.7959
B3GNT7	70
TMEM37	70
CR1	70.189
ZNF595	70.4167
HRK	70.4348
POLR2J3	70.4945
GTF2IRD2B	70.5997
TRIM73	70.6015
FCGR2B	70.6238
GAGE12J	70.9311
NPIPA5	71.0641
GTF2IRD2	71.2366
SIRPB1	71.3645
FOXD1	71.3734
PLA2G10	71.4286
SYT15	71.7409
C22orf31	72.165
GOLGA6C	72.2555
OR2A1	72.4973
CNTNAP3	72.6494
ANKRD30A	72.7273
LPA	73.4999
POTEF	73.6305
NPIPB11	73.7486
MUC1	74.4421
NBPF26	74.5093
TPSB2	74.6325
ARHGEF5	74.7444
F8	74.8327
CCDC200	75
GALR1	75
KIAA1586	75
PAGE2	75
PAGE2B	75
SPATA31C1	75
SURF4	75
GPAT2	75.0412
SIGLEC14	75.4241
SERHL2	75.5571
RGPD4	75.5895
ZNG1E	75.7048
EXOSC6	76.044
PRAMEF13	76.0839
DMBT1	76.162
POTEG	76.1656
LRRC37A3	76.2013
TPSAB1	76.2648
ASNS	76.2977
BMP8B	76.3826
MTX1	76.6452
CSH1	76.7011
THOC3	76.7457
UGT2B17	76.7787
TBC1D3F	76.8537
ZNF717	76.9886
SPDYE16	77.0429
NPY4R	77.1809
ZNF431	77.5
HBZ	77.7236
FAM86B1	77.9893
NOTCH2NLC	78.0209
CES1	78.022
NBPF8	78.2543
USP17L1	78.3427
CNTNAP3B	78.5487
FNDC10	78.649
NUDT19	78.9846
MUC22	79.1459
KRT86	79.2828
AGAP9	79.5291
ATP5MJ	80
CCL3L3	80
CCL4L2	80
CFHR1	80
CFHR3	80
CYLC1	80
GGTLC2	80
IQCF1	80
MRPS25	80
NEU3	80
SUMO3	80
TMLHE	80
UGT2B28	80
ZNF264	80
ZNF678	80
PRAMEF10	80.0883
FAM153A	80.851
VCX3A	80.9804
FOXI3	81
GPR42	81.0759
ZDHHC11	81.1258
USP17L10	81.1619
NBPF1	81.1976
GOLGA6L6	81.239
TAF11L9	81.34
TRAPPC10	81.4815
NBPF9	81.5261
SRGAP2C	81.8691
KRTAP9-6	81.9876
SRGAP2B	82.5153
RGPD3	83.0322
HSFX4	83.2585
C6orf62	83.3333
IPCEF1	83.3333
MTERF4	83.3333
RAET1G	83.3333
SPRYD7	83.3333
ZNF124	83.3333
TAF11L8	83.3836
UTF1	83.4962
POU3F1	83.566
SOX1	83.5714
ZNF322	83.7055
STOX1	83.7616
BMP8A	83.7745
ZNF446	83.7758
POU3F3	83.8856
OCLN	83.9772
SPCS3	84
ZNF493	84
ZFTRAF1	84.0188
TRNP1	84.2105
EPPK1	84.2111
ONECUT3	84.2534
GDF7	84.3223
GOLGA8Q	84.5698
GPR89A	84.6799
PPIAL4H	84.8889
LGALS9C	85.1901
FBLL1	85.2736
C20orf203	85.4931
BCL2L14	85.7143
HDDC2	85.7143
HYKK	85.7143
OASL	85.7143
RANBP1	85.7143
SERPINB9	85.7143
SYCE2	85.7143
ZDHHC21	85.7143
ZNF766	85.7143
MBD3L3	85.8247
C6orf132	85.8421
GPR89B	86.0231
SPRN	86.0965
PLGRKT	86.1019
PRAMEF9	86.3748
MEX3D	86.438
SCT	86.6197
FAM25G	86.6667
FGF8	86.6667
PDXP	86.8815
FRG2B	87.0059
LGALS9B	87.1076
R3HDM4	87.23
NUTM2G	87.2678
ASRGL1	87.5
CISD3	87.5
GCLM	87.5
IHO1	87.5
LDAF1	87.5
PPP1R2	87.5
SHLD1	87.5
BCL7C	87.5989
ARMCX6	87.6359
KCNC3	87.6554
SELENOP	87.6623
CTRB2	87.6648
PRAMEF18	87.6673
CGB3	87.7275
CTRB1	87.8183
OTOA	87.8495
LILRA6	87.9115
MRM2	88
ZNF839	88.005
MUC2	88.0801
HBG2	88.1159
FRAT2	88.1482
ASAH2	88.1648
KLRC3	88.1962
C11orf68	88.1967
C2orf72	88.2229
CENPVL3	88.2639
CDK11A	88.3551
IER5L	88.3951
METRNL	88.5294
H2BC18	88.5714
PSG4	88.5714
SSX7	88.5714
ANKRD36B	88.5947
MGAT4D	88.6416
FOXD4L5	88.6651
HP	88.6724
RAC3	88.7619
ORAI1	88.7987
HEATR4	88.8076
C6orf52	88.8889
EEPD1	88.8889
IQCK	88.8889
ZDHHC11B	88.9009
PDE4DIP	88.9414
TMEM191C	88.9616
NANOS1	88.9647
SLC2A4RG	89.001
DEFB4B	89.0473
HCN2	89.0739
CITED4	89.1171
GOLGA8K	89.2066
TRIM49	89.3466
C10orf95	89.3535
CCZ1B	89.3654
WNT9B	89.5455
BHLHA9	89.5763
FCGBP	89.5764
ZNF140	89.5879
RPUSD1	89.6399
GOLGA6L22	89.6482
ZNF554	89.6855
FRG2	89.7873
USP18	89.8333
ATOH7	89.8475
HBA2	89.8622
PRSS23	89.913
C17orf58	89.9733
