# Source: https://andersonbioinfo.github.io/SurfSeq_Gene_coverage/
# Repo: https://github.com/andersonbioinfo/SurfSeq_Gene_coverage  commit 9ef3f77e31f998947672920e86f1e091fcfce5f5 (2025-07-26)
# Column: percentage of each gene's coding region covered by the SurfSeq panel design
gene	pct_coding_covered
ADM	100
ADM2	100
ADM5	100
ADNP	100
ADNP2	100
ADO	100
ADORA1	100
ADORA2A	100
ADORA2B	100
ADPGK	100
ADPRH	100
ADPRHL1	100
ADPRM	100
ADPRS	100
ADRA1A	100
ADRA1B	99.7611
ADRA1D	97.4977
ADRA2A	99.7997
ADRA2B	100
ADRA2C	95.6443
ADRB1	94.1562
ADRB2	100
ADRB3	100
ADRM1	100
ADSL	99.9675
ADSS1	100
ADSS2	100
ADTRP	100
AEBP1	100
AEBP2	100
AEN	100
AFAP1	99.7807
AFAP1L1	100
AFAP1L2	100
AFDN	100
AFF1	100
AFF2	100
AFF3	100
AFF4	98.6487
AFG1L	100
AFG3L2	99.9794
AFM	100
AFMID	100
AFP	100
AFTPH	100
AGA	100
AGAP1	99.9516
AGAP2	100
AGAP3	97.0183
AGAP4	99.7937
AGAP5	97.5
AGAP6	97.5
AGAP9	79.5291
AGBL1	100
AGBL2	100
AGBL3	100
AGBL4	100
AGBL5	100
AGER	100
AGFG1	100
AGFG2	100
AGGF1	100
AGK	100
AGL	100
AGMAT	98.9496
AGMO	100
AGO1	100
AGO2	97.5832
AGO3	100
AGO4	97.7778
AGPAT1	100
AGPAT2	100
AGPAT3	100
AGPAT4	100
AGPAT5	100
AGPS	100
AGR2	100
AGR3	100
AGRN	99.7612
AGRP	100
AGT	100
AGTPBP1	99.7616
AGTR1	100
AGTR2	100
AGTRAP	100
AGXT	100
AGXT2	100
AHCTF1	100
AHCY	100
AHCYL1	100
AHCYL2	99.9536
AHDC1	100
AHI1	100
AHNAK	100
AHNAK2	99.9807
AHR	100
AHRR	100
AHSA1	100
AHSG	100
AHSP	100
AICDA	100
AIDA	100
AIF1	100
AIF1L	100
AIFM1	100
AIFM2	100
AIFM3	100
AIG1	100
AIM2	100
AIMP1	100
AIMP2	100
AIP	100
AIPL1	100
AIRE	100
AJAP1	100
AJM1	96.3903
AJUBA	100
AK1	100
AK2	100
AK3	100
AK4	100
AK5	100
AK6	100
AK7	100
AK8	100
AK9	98.7192
AKAIN1	100
AKAP1	100
AKAP10	100
AKAP11	100
AKAP12	100
AKAP13	100
AKAP14	100
AKAP17A	50
AKAP3	100
AKAP4	100
AKAP6	100
AKAP7	100
AKAP8	100
AKAP8L	100
AKAP9	100
AKIP1	100
AKIRIN1	100
AKIRIN2	100
AKNA	100
AKNAD1	100
AKR1A1	100
AKR1B1	100
AKR1B10	99.4223
AKR1B15	100
AKR1C1	94.3483
AKR1C2	93.9036
AKR1C3	99.9014
AKR1C4	100
AKR1D1	100
AKR1E2	100
AKR7A2	100
AKR7A3	100
AKT1	100
AKT1S1	100
AKT2	100
AKT3	100
AKTIP	100
ALAD	100
ALAS1	100
ALAS2	100
ALB	100
ALCAM	100
ALDH16A1	100
ALDH18A1	100
ALDH1A1	100
ALDH1A2	100
ALDH1A3	100
ALDH1B1	100
ALDH1L1	100
ALDH1L2	100
ALDH2	100
ALDH3A1	100
ALDH3A2	100
ALDH3B1	100
ALDH3B2	100
ALDH4A1	100
ALDH5A1	99.4413
ALDH6A1	100
ALDH7A1	100
ALDH8A1	100
ALDH9A1	100
ALDOB	100
ALDOC	100
ALG1	100
ALG10	100
ALG10B	100
ALG11	100
ALG12	100
ALG13	100
ALG14	100
ALG1L2	100
ALG2	100
ALG3	100
ALG5	100
ALG6	100
ALG8	100
ALG9	100
ALK	100
ALKAL1	100
ALKAL2	99.747
ALKBH1	100
ALKBH2	100
ALKBH3	100
ALKBH4	100
ALKBH5	100
ALKBH6	99.9026
ALKBH7	100
ALKBH8	100
ALLC	100
ALMS1	100
ALOX12	100
ALOX12B	100
ALOX15	96.6992
ALOX15B	100
ALOX5	100
ALOX5AP	100
ALOXE3	100
ALPG	97.4973
ALPI	100
ALPK1	100
ALPK2	100
ALPK3	99.6778
ALPL	100
ALPP	99.2708
ALS2	100
ALS2CL	100
ALX1	100
ALX3	100
ALX4	100
ALYREF	95.1938
AMACR	100
AMBN	100
AMBP	100
AMBRA1	100
AMD1	100
AMDHD1	100
AMDHD2	100
AMELY	20
AMER1	100
AMER2	99.7322
AMER3	100
AMFR	99.8641
AMH	99.9255
AMHR2	100
AMIGO1	100
AMIGO2	100
AMMECR1	100
AMMECR1L	99.4489
AMN	99.6115
AMN1	92.5
AMOT	100
AMOTL1	100
AMOTL2	100
AMPD1	100
AMPD2	100
AMPD3	100
AMPH	100
AMT	100
AMTN	100
AMY1A	12
AMY1B	9.24959
AMY1C	26.0238
AMY2A	67.961
AMY2B	100
AMZ1	100
AMZ2	100
ANAPC1	94.3989
ANAPC10	90
ANAPC11	100
ANAPC13	100
ANAPC15	100
ANAPC16	100
ANAPC2	100
ANAPC4	100
ANAPC5	100
ANAPC7	100
ANG	100
ANGEL1	100
ANGEL2	100
ANGPT1	100
ANGPT4	100
ANGPTL4	100
ANGPTL5	100
ANGPTL6	96.4809
ANHX	99.9104
ANK1	100
ANK2	100
